Transaction_ID,Date,Amount,Vendor_Name,Employee_ID,Account_Code,Department,Approval_Status
TXN00001,2023-03-27,1840.68,Zoom Communications,EMP615,6200,Marketing,
TXN00002,2023-12-25,51.64,Dell Technologies,,7100,Sales,Approved
TXN00003,2023-08-13,1606.84,FedEx,EMP747,6100,HR,Approved
TXN00004,2023-02-26,280.39,Grainger,EMP925,6200,Legal,Pending
TXN00005,2023-04-19,44.55,UPS,EMP957,7100,Legal,Rejected
TXN00006,2023-12-13,109.75,Delta Airlines,EMP502,8000,IT,Pending
TXN00007,2023-08-10,149.37,Lyft Business,EMP213,6400,Legal,
TXN00008,2023-03-17,6941.65,Lenovo,EMP619,6400,HR,Approved
TXN00009,2023-10-13,553.47,Home Depot,EMP159,7200,Legal,Approved
TXN00010,2023-06-13,14.09,Adobe Systems,EMP660,6500,HR,Approved
TXN00011,2023-10-15,19.69,United Airlines,EMP894,8000,Sales,Approved
TXN00012,2023-03-20,6367.43,Ricoh,EMP298,6500,Procurement,Rejected
TXN00013,2023-07-09,2477.97,Zoom Communications,EMP453,6600,HR,Approved
TXN00014,2023-03-25,12.3,Hilton Hotels,EMP212,6500,Legal,Rejected
TXN00015,2023-08-12,8780.55,Seamless,EMP713,8000,Procurement,Approved
TXN00016,2023-10-21,7913.7,Home Depot,EMP820,7200,Sales,Approved
TXN00017,2023-10-25,55.85,UPS,EMP369,6600,Marketing,Pending
TXN00018,2023-05-10,142.3,Apple Business,EMP937,6700,Legal,
TXN00019,2023-03-25,168.31,WeWork,EMP837,6200,Legal,Pending
TXN00020,2023-02-13,24.56,Dell Technologies,EMP371,7100,Finance,Rejected
TXN00021,2023-08-11,91.38,Verizon Business,EMP163,6600,Operations,Approved
TXN00022,2023-11-24,40.51,USPS,EMP107,6500,Operations,Approved
TXN00023,2023-05-06,138.81,Marriott,EMP689,6500,Finance,Approved
TXN00024,2023-12-18,2447.41,Marriott,EMP909,8000,IT,Approved
TXN00025,2023-07-16,293.42,Grainger,EMP173,7100,Operations,
TXN00026,2023-10-21,111.81,Uber Business,EMP539,6700,Sales,Rejected
TXN00027,2023-01-07,4628.45,Microsoft,EMP252,6400,Legal,Approved
TXN00028,2023-08-22,19.83,Uline,EMP378,6300,HR,Approved
TXN00029,2023-02-01,233.48,Microsoft,EMP668,6300,Legal,Approved
TXN00030,2023-03-21,2545.87,WeWork,EMP544,6100,Operations,Approved
TXN00031,2023-09-15,521.16,Uber Business,EMP822,6600,Sales,Approved
TXN00032,2023-03-31,5001.23,Adobe Systems,EMP848,7100,Procurement,Approved
