Transaction_ID,Date,Amount,Vendor_Name,Employee_ID,Department,Approval_Status,Is_Weekend,Is_Round_Number,Is_Threshold,Missing_Vendor,Rule_Flag_Count,ML_Anomaly,Risk_Score,Risk_Level
TXN00002,2023-12-25,51.64,Dell Technologies,,Sales,Approved,False,False,False,False,2,1,40,Medium
TXN00003,2023-08-13,1606.84,FedEx,EMP747,HR,Approved,True,False,False,False,1,0,15,Low
TXN00004,2023-02-26,280.39,Grainger,EMP925,Legal,Pending,True,False,False,False,1,0,10,Low
TXN00010,2023-06-13,14.09,Adobe Systems,EMP660,HR,Approved,False,False,False,False,1,0,10,Low
TXN00011,2023-10-15,19.69,United Airlines,EMP894,Sales,Approved,True,False,False,False,1,0,10,Low
TXN00013,2023-07-09,2477.97,Zoom Communications,EMP453,HR,Approved,True,False,False,False,1,0,20,Low
TXN00014,2023-03-25,12.3,Hilton Hotels,EMP212,Legal,Rejected,True,False,False,False,2,0,20,Low
TXN00015,2023-08-12,8780.55,Seamless,EMP713,Procurement,Approved,True,False,False,False,1,1,50,Medium
TXN00016,2023-10-21,7913.7,Home Depot,EMP820,Sales,Approved,True,False,False,False,1,1,50,Medium
TXN00019,2023-03-25,168.31,WeWork,EMP837,Legal,Pending,True,False,False,False,1,0,10,Low
TXN00020,2023-02-13,24.56,Dell Technologies,EMP371,Finance,Rejected,False,False,False,False,1,0,10,Low
TXN00023,2023-05-06,138.81,Marriott,EMP689,Finance,Approved,True,False,False,False,1,0,10,Low
TXN00025,2023-07-16,293.42,Grainger,EMP173,Operations,,True,False,False,False,1,0,10,Low
TXN00026,2023-10-21,111.81,Uber Business,EMP539,Sales,Rejected,True,False,False,False,1,0,10,Low
TXN00027,2023-01-07,4628.45,Microsoft,EMP252,Legal,Approved,True,False,False,False,1,0,20,Low
TXN00028,2023-08-22,19.83,Uline,EMP378,HR,Approved,False,False,False,False,1,0,10,Low
TXN00034,2023-05-01,29.91,Grainger,EMP412,HR,Approved,False,False,False,False,1,0,10,Low
TXN00035,2023-04-08,3416.44,Canon,EMP821,Finance,Approved,True,False,False,False,1,0,20,Low
TXN00036,2023-05-20,673.21,USPS,EMP409,Legal,Pending,True,False,False,False,1,0,10,Low
TXN00038,2023-03-12,9533.05,Salesforce,EMP985,IT,Rejected,True,False,False,False,1,1,50,Medium
TXN00040,2023-02-22,9455.2,Amazon Business,EMP854,Procurement,Approved,False,False,False,False,0,1,40,Medium
TXN00043,2023-03-09,24.65,Ricoh,EMP324,Sales,,False,False,False,False,1,0,10,Low
TXN00045,2023-06-19,9218.12,WeWork,EMP912,HR,,False,False,False,False,0,1,40,Medium
TXN00046,2023-07-21,1718.94,Lenovo,EMP686,Marketing,,False,False,False,False,1,0,15,Low
TXN00048,2023-11-18,983.22,FedEx,EMP167,Sales,Approved,True,False,False,False,2,0,20,Low
TXN00049,2023-03-23,20.07,FedEx,EMP565,Sales,Rejected,False,False,False,False,1,0,10,Low
TXN00050,2023-07-21,200.0,Dell Technologies,EMP939,Operations,Approved,False,True,False,False,2,0,20,Low
TXN00052,2023-12-16,21.6,HP Inc,EMP245,Procurement,,True,False,False,False,1,0,10,Low
TXN00053,2023-11-22,63.29,UPS,EMP849,IT,Pending,False,False,False,False,1,0,10,Low
TXN00055,2023-08-06,61.24,Lenovo,EMP269,Sales,Approved,True,False,False,False,1,0,10,Low
TXN00059,2023-06-16,59.16,Grubhub Corporate,EMP166,Sales,Approved,False,False,False,False,1,0,10,Low
TXN00061,2023-11-05,229.82,Lenovo,EMP876,IT,,True,False,False,False,1,0,10,Low
TXN00063,2023-09-10,40.66,Apple Business,EMP573,Finance,Approved,True,False,False,False,1,0,10,Low
TXN00069,2023-12-02,13.99,Pitney Bowes,EMP380,HR,Approved,True,False,False,False,1,0,10,Low
TXN00071,2023-02-04,4085.82,Pitney Bowes,EMP457,Marketing,Pending,True,False,False,False,1,0,20,Low
TXN00072,2023-07-09,528.08,Delta Airlines,EMP997,IT,Approved,True,False,False,False,1,0,10,Low
TXN00073,2023-12-13,4999.99,Uline,EMP698,Finance,Pending,False,False,True,False,2,1,50,Medium
TXN00074,2023-12-28,1387.41,,EMP719,Sales,Approved,False,False,False,True,1,1,35,Low
TXN00076,2023-12-22,9658.81,Cisco Systems,EMP482,HR,Approved,False,False,False,False,0,1,40,Medium
TXN00079,2023-10-18,7649.36,Zoom Communications,EMP846,Sales,Approved,False,False,False,False,0,1,40,Medium
TXN00081,2023-09-09,5000.0,Delta Airlines,EMP748,Legal,Approved,True,True,False,False,3,0,50,Medium
TXN00085,2023-09-03,2499.99,Ricoh,EMP467,Procurement,Pending,True,False,True,False,3,0,40,Medium
TXN00088,2023-01-05,898.25,Enterprise Rent-A-Car,,HR,Pending,False,False,False,False,1,1,30,Low
TXN00091,2023-05-20,31.11,Microsoft,EMP138,IT,Approved,True,False,False,False,1,0,10,Low
TXN00092,2023-07-11,4999.99,Hertz,EMP405,Procurement,Approved,False,False,True,False,2,0,30,Low
TXN00095,2023-07-22,179.97,Home Depot,EMP643,HR,Approved,True,False,False,False,1,0,10,Low
TXN00097,2023-09-23,306.35,Grainger,EMP573,Procurement,Approved,True,False,False,False,1,0,10,Low
TXN00098,2023-06-10,51.71,Cisco Systems,EMP462,Sales,Approved,True,False,False,False,2,0,20,Low
TXN00101,2023-01-07,1247.5,Salesforce,EMP490,Legal,,True,False,False,False,2,0,25,Low
TXN00102,2023-01-29,65.26,Lenovo,EMP644,IT,,True,False,False,False,1,0,10,Low
TXN00106,2023-11-10,143.39,AT&T Business,EMP536,Marketing,Approved,False,False,False,False,1,0,10,Low
TXN00107,2023-09-27,17.52,Salesforce,EMP476,IT,Approved,False,False,False,False,1,0,10,Low
TXN00108,2023-04-14,13.37,UPS,EMP726,Operations,,False,False,False,False,1,0,10,Low
TXN00109,2023-05-07,113.94,USPS,EMP482,Procurement,Rejected,True,False,False,False,1,0,10,Low
TXN00112,2023-10-08,69.82,UPS,EMP804,Sales,,True,False,False,False,1,0,10,Low
TXN00113,2023-11-13,17.97,Adobe Systems,EMP927,IT,Pending,False,False,False,False,1,0,10,Low
TXN00116,2023-03-01,2000.0,Dell Technologies,EMP544,Operations,Approved,False,True,False,False,2,0,30,Low
TXN00117,2023-06-11,1500.0,Lyft Business,EMP971,Procurement,Approved,True,True,False,False,3,0,35,Low
TXN00120,2023-04-03,2007.06,Ricoh,,Sales,Rejected,False,False,False,False,1,1,40,Medium
TXN00124,2023-05-09,16.63,Pitney Bowes,EMP581,Marketing,,False,False,False,False,1,0,10,Low
TXN00126,2023-07-09,143.99,Office Depot,EMP537,Sales,Approved,True,False,False,False,1,0,10,Low
TXN00127,2023-07-19,2500.0,Grubhub Corporate,EMP954,Operations,,False,True,False,False,2,0,30,Low
TXN00128,2023-08-12,17.2,Dell Technologies,EMP531,Finance,Approved,True,False,False,False,2,0,20,Low
TXN00135,2023-12-31,43.91,Grainger,EMP419,IT,Approved,True,False,False,False,1,0,10,Low
TXN00136,2023-06-10,1554.15,HP Inc,EMP164,Sales,Approved,True,False,False,False,1,0,15,Low
TXN00137,2023-07-02,563.83,Apple Business,EMP432,Operations,Approved,True,False,False,False,1,0,10,Low
TXN00138,2023-01-02,28.01,Staples,EMP641,Legal,Pending,False,False,False,False,1,0,10,Low
TXN00140,2023-07-16,207.57,Uline,EMP542,Marketing,Rejected,True,False,False,False,1,0,10,Low
TXN00141,2023-06-24,30.99,Adobe Systems,EMP825,Legal,Rejected,True,False,False,False,1,0,10,Low
TXN00142,2023-10-07,34.85,United Airlines,EMP483,IT,Pending,True,False,False,False,1,0,10,Low
TXN00143,2023-12-21,153.61,Ricoh,,HR,Approved,False,False,False,False,1,1,30,Low
TXN00145,2023-01-14,8149.69,Verizon Business,EMP297,Sales,Approved,True,False,False,False,1,1,50,Medium
TXN00146,2023-09-02,2499.99,Office Depot,EMP138,HR,Rejected,True,False,True,False,3,0,40,Medium
TXN00149,2023-02-25,2176.48,Marriott,EMP638,Finance,Rejected,True,False,False,False,1,0,20,Low
TXN00150,2023-01-16,4373.93,HP Inc,EMP798,Finance,Approved,False,False,False,False,0,1,30,Low
TXN00151,2023-08-26,29.91,Dell Technologies,,Marketing,Approved,True,False,False,False,3,1,50,Medium
TXN00154,2023-12-24,3229.28,Home Depot,EMP911,Sales,Pending,True,False,False,False,1,1,40,Medium
TXN00156,2023-04-27,397.05,Grubhub Corporate,EMP572,Operations,Pending,False,False,False,False,1,0,10,Low
TXN00157,2023-12-17,5394.62,Dell Technologies,EMP274,Finance,Approved,True,False,False,False,1,1,50,Medium
TXN00158,2023-12-08,3698.3,,EMP808,Marketing,Approved,False,False,False,True,1,1,40,Medium
TXN00159,2023-07-08,7688.96,Seamless,EMP737,Operations,Approved,True,False,False,False,1,0,30,Low
TXN00160,2023-01-08,1247.5,USPS,EMP432,IT,Approved,True,False,False,False,2,0,25,Low
TXN00161,2023-01-08,2796.33,Delta Airlines,EMP427,Procurement,Approved,True,False,False,False,1,0,20,Low
TXN00163,2023-08-11,8615.35,Grainger,EMP185,Sales,Approved,False,False,False,False,0,1,40,Medium
TXN00165,2023-04-15,33.09,USPS,EMP961,Marketing,Approved,True,False,False,False,1,0,10,Low
TXN00167,2023-12-10,595.59,Uber Business,EMP512,IT,Approved,True,False,False,False,1,0,10,Low
TXN00170,2023-10-25,6856.66,USPS,EMP246,Finance,Pending,False,False,False,False,0,1,40,Medium
TXN00173,2023-09-17,31.47,Zoom Communications,EMP417,Marketing,Approved,True,False,False,False,2,0,20,Low
TXN00174,2023-09-09,196.11,FedEx,EMP712,HR,Rejected,True,False,False,False,1,0,10,Low
TXN00175,2023-03-02,367.57,Home Depot,EMP756,Operations,Approved,False,False,False,False,1,0,10,Low
TXN00177,2023-07-02,58.4,Microsoft,EMP424,Operations,Approved,True,False,False,False,1,0,10,Low
TXN00178,2023-08-07,12.09,Apple Business,EMP208,Procurement,,False,False,False,False,1,0,10,Low
TXN00179,2023-12-05,1715.0,Hilton Hotels,,Procurement,Approved,False,False,False,False,1,1,35,Low
TXN00181,2023-06-11,6646.08,Canon,EMP997,HR,Approved,True,False,False,False,1,0,30,Low
TXN00183,2023-12-30,15.26,Lyft Business,EMP930,Sales,Approved,True,False,False,False,2,0,20,Low
TXN00189,2023-06-13,5000.0,Marriott,EMP126,Marketing,Approved,False,True,False,False,2,0,40,Medium
TXN00190,2023-07-06,499.99,Marriott,EMP964,Sales,Pending,False,False,True,False,2,0,20,Low
TXN00192,2023-02-19,41.74,Apple Business,EMP244,Finance,Pending,True,False,False,False,1,0,10,Low
TXN00196,2023-08-12,18.54,Hertz,EMP491,Marketing,Approved,True,False,False,False,2,0,20,Low
TXN00201,2023-12-30,390.97,Seamless,EMP256,Procurement,Rejected,True,False,False,False,1,0,10,Low
